TotalLoad,OtherLoad,HVACLoad,Ambient,Humidity,DOW,TOD,ClgSP,KitchenClgSP,GuestClgSP,HtgSP,KitchenHtgSP,GuestHtgSP,SupplyAirSP,ChwSP
170007.84437,118456.99303,51550.85134,  21.97500,  49.75000,   2.00000,   9.25000,  25.27261,  27.27261,  25.27261,  21.00000,  19.00000,  21.00000,  13.63631,   8.60892
175942.80165,118518.15875,57424.64290,  22.25000,  48.50000,   2.00000,   9.50000,  24.94479,  26.94479,  24.94479,  21.00000,  19.00000,  21.00000,  13.47239,   8.11718
169238.23569,118524.42680,50713.80889,  22.52500,  47.25000,   2.00000,   9.75000,  25.41784,  27.41784,  25.41784,  21.00000,  19.00000,  21.00000,  13.70892,   8.82677
171316.52662,118524.46202,52792.06459,  22.80000,  46.00000,   2.00000,  10.00000,  25.45573,  27.45573,  25.45573,  21.00000,  19.00000,  21.00000,  13.72786,   8.88359
251840.19467,119688.50883,132151.68584,  23.20000,  44.50000,   2.00000,  10.25000,  22.52283,  24.52283,  22.52283,  21.00000,  19.00000,  21.00000,  12.26142,   4.48425
212292.37765,118304.15671,93988.22094,  23.60000,  43.00000,   2.00000,  10.50000,  23.68118,  25.68118,  23.68118,  21.00000,  19.00000,  21.00000,  12.84059,   6.22177
212443.63652,119801.94734,92641.68918,  24.00000,  41.50000,   2.00000,  10.75000,  23.80056,  25.80056,  23.80056,  21.00000,  19.00000,  21.00000,  12.90028,   6.40084
171913.92638,119087.32772,52826.59866,  24.40000,  40.00000,   2.00000,  11.00000,  25.42018,  27.42018,  25.42018,  21.00000,  19.00000,  21.00000,  13.71009,   8.83027
248305.47609,118530.05523,129775.42086,  24.40000,  39.25000,   2.00000,  11.25000,  22.58788,  24.58788,  22.58788,  21.00000,  19.00000,  21.00000,  12.29394,   4.58181
217119.91826,118474.57710,98645.34116,  24.40000,  38.50000,   2.00000,  11.50000,  23.51178,  25.51178,  23.51178,  21.00000,  19.00000,  21.00000,  12.75589,   5.96767
187194.01206,118494.68345,68699.32861,  24.40000,  37.75000,   2.00000,  11.75000,  24.59619,  26.59619,  24.59619,  21.00000,  19.00000,  21.00000,  13.29810,   7.59429
208811.61473,118513.97703,90297.63770,  24.40000,  37.00000,   2.00000,  12.00000,  23.94700,  25.94700,  23.94700,  21.00000,  19.00000,  21.00000,  12.97350,   6.62050
186316.29079,108789.42687,77526.86393,  24.55000,  37.75000,   2.00000,  12.25000,  24.39277,  26.39277,  24.39277,  21.00000,  19.00000,  21.00000,  13.19638,   7.28915
154781.30046,108798.03099,45983.26948,  24.70000,  38.50000,   2.00000,  12.50000,  25.69613,  27.69613,  25.69613,  21.00000,  19.00000,  21.00000,  13.84807,   9.24420
177005.10839,108807.07538,68198.03301,  24.85000,  39.25000,   2.00000,  12.75000,  25.04034,  27.04034,  25.04034,  21.00000,  19.00000,  21.00000,  13.52017,   8.26050
167147.69199,108809.42435,58338.26765,  25.00000,  40.00000,   2.00000,  13.00000,  25.50672,  27.50672,  25.50672,  21.00000,  19.00000,  21.00000,  13.75336,   8.96009
